Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 3;CHIMBORAZO;RIOBAMBA;DAÑO A BIEN AJENO;5/10/2019;MUJER;21;ECUATORIANO
ZONA 9;DMQ;QUITO;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;HOMBRE;30;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 9;DMQ;QUITO;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 7;ZAMORA CHINCHIPE;PALANDA;BOLETA DE APREMIO;4/10/2019;HOMBRE;26;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;16;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ROBO A PERSONAS;4/10/2019;HOMBRE;37;ECUATORIANO
ZONA 5;SANTA ELENA;SALINAS;ROBO A PERSONAS;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 5;SANTA ELENA;SALINAS;ROBO A PERSONAS;4/10/2019;HOMBRE;22;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;25;ECUATORIANO
ZONA 1;CARCHI;TULCAN;ATAQUE O RESISTENCIA;5/10/2019;HOMBRE;24;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;MUJER;51;COLOMBIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;5/10/2019;HOMBRE;35;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;39;COLOMBIANO
ZONA 5;LOS RIOS;QUEVEDO;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;5/10/2019;HOMBRE;22;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ROBO DE CARROS;4/10/2019;HOMBRE;21;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;5/10/2019;HOMBRE;31;ECUATORIANO
ZONA 2;NAPO;TENA;ROBO A PERSONAS;5/10/2019;HOMBRE;15;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;INGRESO DE ARTÍCULOS PROHIBIDOS;5/10/2019;HOMBRE;18;ECUATORIANO
ZONA 5;LOS RIOS;QUEVEDO;CONTRAVENCIONES DE PRIMERA CLASE;5/10/2019;HOMBRE;29;ECUATORIANO
ZONA 3;COTOPAXI;SALCEDO;LESIONES CAUSADAS POR ACCIDENTE DE TRÁNSITO;4/10/2019;HOMBRE;51;ECUATORIANO
ZONA 4;MANABI;JIPIJAPA;RECEPTACIÓN;4/10/2019;HOMBRE;26;ECUATORIANO
ZONA 5;LOS RIOS;QUEVEDO;CONTRAVENCIONES DE PRIMERA CLASE;5/10/2019;HOMBRE;25;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;HURTO;5/10/2019;HOMBRE;22;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;17;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;22;ECUATORIANO
ZONA 9;DMQ;QUITO;TENENCIA Y PORTE DE ARMAS;4/10/2019;HOMBRE;27;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;VIOLENCIA PSICOLÓGICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;5/10/2019;HOMBRE;34;ECUATORIANO
ZONA 4;MANABI;JIPIJAPA;RECEPTACIÓN;4/10/2019;HOMBRE;19;ECUATORIANO
ZONA 4;MANABI;JIPIJAPA;RECEPTACIÓN;4/10/2019;HOMBRE;25;ECUATORIANO
ZONA 7;EL ORO;MACHALA;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;5/10/2019;HOMBRE;28;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE DETENCIÓN/CAPTURA;5/10/2019;MUJER;41;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;SIN DATO;ECUATORIANO
