Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 4;MANABI;MANTA;ATENTADO AL PUDOR;19/6/2017;FLAGRANTE;HOMBRE;18;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;RECEPTACION;19/6/2017;FLAGRANTE;HOMBRE;37;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;19/6/2017;BOLETA;HOMBRE;27;ECUATORIANA
ZONA 7;EL ORO;MACHALA;REBELION Y ATENTADO;19/6/2017;FLAGRANTE;HOMBRE;;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VARIOS;19/6/2017;BOLETA;HOMBRE;37;ECUATORIANA
ZONA 5;GUAYAS;BALZAR;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;52;ECUATORIANA
ZONA 1;SUCUMBIOS;SHUSHUFINDI;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;;COLOMBIANA
ZONA 1;CARCHI;TULCAN;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;43;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;16;ECUATORIANA
ZONA 7;EL ORO;PIÑAS;VARIOS;19/6/2017;BOLETA;HOMBRE;;COLOMBIANA
ZONA 7;LOJA;LOJA;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;;ECUATORIANA
ZONA 7;LOJA;LOJA;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;19/6/2017;FLAGRANTE;MUJER;21;ECUATORIANA
ZONA 7;ZAMORA CHINCHIPE;ZAMORA;VARIOS;19/6/2017;BOLETA;HOMBRE;21;ECUATORIANA
ZONA 6;MORONA SANTIAGO;TAISHA;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;34;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;17;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;19/6/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;19/6/2017;FLAGRANTE;HOMBRE;22;ECUATORIANA
ZONA 7;EL ORO;HUAQUILLAS;REBELION Y ATENTADO;20/6/2017;FLAGRANTE;HOMBRE;24;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;FALSIFICACION;19/6/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;FALSIFICACION;19/6/2017;FLAGRANTE;HOMBRE;46;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;FALSIFICACION;19/6/2017;FLAGRANTE;HOMBRE;24;ECUATORIANA
ZONA 6;CAÑAR;LA TRONCAL;HURTO;19/6/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 2;PICHINCHA;PEDRO MONCAYO;ROBO DOMICILIO;19/6/2017;FLAGRANTE;HOMBRE;23;ECUATORIANA
ZONA 3;CHIMBORAZO;CHAMBO;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 7;EL ORO;MACHALA;RECEPTACION;20/6/2017;FLAGRANTE;HOMBRE;43;ECUATORIANA
ZONA 7;EL ORO;MACHALA;RECEPTACION;20/6/2017;FLAGRANTE;HOMBRE;19;ECUATORIANA
ZONA 7;EL ORO;MACHALA;RECEPTACION;20/6/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 7;EL ORO;MACHALA;RECEPTACION;20/6/2017;FLAGRANTE;HOMBRE;18;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;RECEPTACION;20/6/2017;FLAGRANTE;HOMBRE;24;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;19/6/2017;FLAGRANTE;MUJER;39;ECUATORIANA
ZONA 6;AZUAY;CUENCA;TENTATIVA DE ROBO;19/6/2017;FLAGRANTE;HOMBRE;31;ECUATORIANA
ZONA 3;PASTAZA;PASTAZA;TENTATIVA DE ROBO;20/6/2017;FLAGRANTE;HOMBRE;39;ECUATORIANA
ZONA 2;PICHINCHA;MEJIA;RECEPTACION;20/6/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 2;PICHINCHA;MEJIA;RECEPTACION;20/6/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 2;PICHINCHA;MEJIA;RECEPTACION;20/6/2017;FLAGRANTE;HOMBRE;48;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;20/6/2017;BOLETA;HOMBRE;20;ECUATORIANA
ZONA 5;LOS RIOS;BABAHOYO;VARIOS;19/6/2017;BOLETA;HOMBRE;35;ECUATORIANA
ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;20/6/2017;BOLETA;MUJER;59;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;20/6/2017;BOLETA;HOMBRE;55;ECUATORIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;HERIDAS/LESIONES;20/6/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 5;SANTA ELENA;SANTA ELENA;VARIOS;20/6/2017;BOLETA;HOMBRE;46;ECUATORIANA
ZONA 7;EL ORO;HUAQUILLAS;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;22;ECUATORIANA
ZONA 9;DMQ;QUITO;ROBO A CARROS;20/6/2017;FLAGRANTE;HOMBRE;15;ECUATORIANA
ZONA 1;IMBABURA;IBARRA;VARIOS;20/6/2017;BOLETA;HOMBRE;23;ECUATORIANA
ZONA 4;MANABI;MONTECRISTI;ROBO A CARROS;20/6/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 4;MANABI;JAMA;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 4;MANABI;JAMA;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;41;ECUATORIANA
ZONA 7;LOJA;CELICA;DELITO ENERGETICO;19/6/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 9;DMQ;QUITO;ROBO A CARROS;20/6/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 9;DMQ;QUITO;ROBO A CARROS;20/6/2017;FLAGRANTE;HOMBRE;16;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;20/6/2017;BOLETA;HOMBRE;19;ECUATORIANA
ZONA 5;LOS RIOS;BUENA FE;HURTO;19/6/2017;FLAGRANTE;HOMBRE;37;ECUATORIANA
ZONA 5;SANTA ELENA;SANTA ELENA;VARIOS;20/6/2017;BOLETA;HOMBRE;49;ECUATORIANA
ZONA 1;ESMERALDAS;QUININDE;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;HOMBRE;37;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;20/6/2017;BOLETA;HOMBRE;47;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;20/6/2017;BOLETA;MUJER;51;ECUATORIANA
ZONA 9;DMQ;QUITO;MICROTRAFICO;20/6/2017;FLAGRANTE;MUJER;20;ECUATORIANA
ZONA 1;ESMERALDAS;ESMERALDAS;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;40;ECUATORIANA
ZONA 5;GUAYAS;MILAGRO;VARIOS;20/6/2017;BOLETA;HOMBRE;27;ECUATORIANA
ZONA 5;LOS RIOS;BABAHOYO;HURTO;20/6/2017;FLAGRANTE;HOMBRE;42;ECUATORIANA
ZONA 5;LOS RIOS;BABAHOYO;HURTO;20/6/2017;FLAGRANTE;HOMBRE;40;ECUATORIANA
ZONA 1;ESMERALDAS;ESMERALDAS;VARIOS;20/6/2017;FLAGRANTE;HOMBRE;33;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;20/6/2017;BOLETA;HOMBRE;38;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;20/6/2017;BOLETA;HOMBRE;47;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;VARIOS;20/6/2017;FLAGRANTE;HOMBRE;19;ECUATORIANA
ZONA 5;GUAYAS;SALITRE;VARIOS;20/6/2017;BOLETA;HOMBRE;28;ECUATORIANA
ZONA 1;ESMERALDAS;ESMERALDAS;ASESINATO;19/6/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 5;GUAYAS;NARANJITO;VARIOS;20/6/2017;BOLETA;HOMBRE;41;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;MICROTRAFICO;20/6/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;20/6/2017;BOLETA;HOMBRE;36;ECUATORIANA
ZONA 5;LOS RIOS;QUEVEDO;VARIOS;20/6/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 5;LOS RIOS;QUEVEDO;VARIOS;20/6/2017;FLAGRANTE;HOMBRE;66;ECUATORIANA
ZONA 4;MANABI;MONTECRISTI;VARIOS;20/6/2017;FLAGRANTE;HOMBRE;35;ECUATORIANA
ZONA 1;IMBABURA;IBARRA;HERIDAS/LESIONES;20/6/2017;FLAGRANTE;HOMBRE;35;ECUATORIANA
