Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 1;SUCUMBIOS;SHUSHUFINDI;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;MUJER;28;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;35;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;1/1/2017;BOLETA;HOMBRE;28;ECUATORIANA
ZONA 9;DMQ;QUITO;HURTO;1/1/2017;FLAGRANTE;HOMBRE;49;ECUATORIANA
ZONA 5;LOS RIOS;BUENA FE;VARIOS;1/1/2017;BOLETA;HOMBRE;29;ECUATORIANA
ZONA 3;TUNGURAHUA;AMBATO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 1;IMBABURA;IBARRA;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;MUJER;18;ECUATORIANA
ZONA 1;IMBABURA;IBARRA;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;22;ECUATORIANA
ZONA 5;GUAYAS;EL TRIUNFO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/2017;FLAGRANTE;HOMBRE;48;ECUATORIANA
ZONA 5;GUAYAS;EL TRIUNFO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/2017;FLAGRANTE;HOMBRE;40;ECUATORIANA
ZONA 7;LOJA;LOJA;HERIDAS/LESIONES;1/1/2017;BOLETA;HOMBRE;31;ECUATORIANA
ZONA 1;CARCHI;TULCAN;VARIOS;1/1/2017;BOLETA;HOMBRE;24;ECUATORIANA
ZONA 4;MANABI;MONTECRISTI;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;37;ECUATORIANA
ZONA 5;GUAYAS;PLAYAS;VARIOS;1/1/2017;BOLETA;MUJER;25;ECUATORIANA
ZONA 1;CARCHI;TULCAN;VARIOS;1/1/2017;BOLETA;HOMBRE;25;ECUATORIANA
ZONA 1;IMBABURA;COTACACHI;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;;COLOMBIANA
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 8;DMG;DURAN;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;1/1/2017;BOLETA;HOMBRE;29;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;INVASIONES/ALLANAMIENTO;1/1/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 5;BOLIVAR;CHIMBO;VARIOS;1/1/2017;BOLETA;HOMBRE;36;ECUATORIANA
