Zona;Subzona;Cantón;presunta_subinfraccion;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 8;DMG;GUAYAQUIL;PECULADO;3/6/2020;HOMBRE;73;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;29/6/2020;HOMBRE;21;ECUATORIANO
ZONA 7;LOJA;LOJA;BOLETA DE APREMIO;20/8/2020;HOMBRE;23;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;26/6/2020;HOMBRE;60;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE;19/3/2020;HOMBRE;20;ECUATORIANO
ZONA 5;SANTA ELENA;SANTA ELENA;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;6/3/2020;HOMBRE;23;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ROBO A PERSONAS;5/8/2020;HOMBRE;59;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE SEGUNDA CLASE;11/7/2020;HOMBRE;66;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;28/4/2020;HOMBRE;38;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE APREMIO;25/6/2020;HOMBRE;23;ECUATORIANO
ZONA 4;MANABI;FLAVIO ALFARO;AGRESIÓN;2/9/2020;HOMBRE;57;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ROBO A PERSONAS;5/8/2020;HOMBRE;52;ECUATORIANO
ZONA 7;LOJA;MACARA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;19/1/2020;HOMBRE;51;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE AUXILIO;18/1/2020;MUJER;29;ECUATORIANO
ZONA 1;IMBABURA;ANTONIO ANTE;CONTRAVENCIÓN DE HURTO;3/10/2020;HOMBRE;34;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;13/9/2020;HOMBRE;21;ECUATORIANO
ZONA 7;EL ORO;HUAQUILLAS;VIOLACIÓN DE PROPIEDAD PRIVADA;31/10/2020;HOMBRE;32;ECUATORIANO
ZONA 1;CARCHI;TULCAN;CONTRAVENCIONES DE TRÁNSITO DE PRIMERA CLASE;26/7/2020;HOMBRE;22;COLOMBIANO
ZONA 9;DMQ;QUITO;TENENCIA Y PORTE DE ARMAS;14/2/2020;HOMBRE;35;COLOMBIANO
ZONA 3;CHIMBORAZO;ALAUSI;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;27/8/2020;HOMBRE;29;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;20/9/2020;HOMBRE;27;ECUATORIANO
ZONA 7;ZAMORA CHINCHIPE;EL PANGUI;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;12/3/2020;HOMBRE;23;ECUATORIANO
ZONA 5;SANTA ELENA;SALINAS;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;25/10/2020;HOMBRE;55;ECUATORIANO
ZONA 4;MANABI;MANTA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;11/11/2020;HOMBRE;35;ECUATORIANO
ZONA 4;MANABI;MANTA;CONTRAVENCIONES DE SEGUNDA CLASE;2/5/2020;MUJER;44;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ROBO A PERSONAS;24/3/2020;HOMBRE;24;ECUATORIANO
ZONA 5;GUAYAS;NARANJAL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;18/8/2020;HOMBRE;25;ECUATORIANO
ZONA 5;GUAYAS;DAULE;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;22/3/2020;HOMBRE;54;ECUATORIANO
ZONA 1;ESMERALDAS;ATACAMES;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;19/9/2020;HOMBRE;29;ECUATORIANO
ZONA 7;EL ORO;ARENILLAS;BOLETA DE APREMIO;22/2/2020;HOMBRE;28;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;26/10/2020;HOMBRE;22;ECUATORIANO
ZONA 5;GUAYAS;SAN JACINTO DE YAGUACHI;TENENCIA Y PORTE DE ARMAS;27/5/2020;HOMBRE;24;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;26/11/2020;MUJER;26;ECUATORIANO
ZONA 7;EL ORO;HUAQUILLAS;CONTRAVENCIONES DE PRIMERA CLASE;14/11/2020;MUJER;16;ECUATORIANO
