Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 5;LOS RIOS;VENTANAS;PATRULLAJES Y OPERATIVOS;8/1/2019;HOMBRE;18;ECUATORIANO
ZONA 9;DMQ;QUITO;PATRULLAJES Y OPERATIVOS;3/2/2019;MUJER;28;ECUATORIANO
ZONA 7;EL ORO;MACHALA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;3/3/2019;HOMBRE;18;ECUATORIANO
ZONA 1;IMBABURA;COTACACHI;NOVEDADES;11/2/2019;HOMBRE;36;ECUATORIANO
ZONA 7;ZAMORA CHINCHIPE;ZAMORA;PATRULLAJES Y OPERATIVOS;12/1/2019;HOMBRE;34;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;ROBO A INSTITUCIONES EDUCATIVAS ;15/2/2019;HOMBRE;19;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;NOVEDADES;21/2/2019;HOMBRE;21;ECUATORIANO
ZONA 7;EL ORO;PI?æAS;PROCEDIMIENTOS;2/3/2019;HOMBRE;51;ECUATORIANO
ZONA 7;LOJA;LOJA;ATAQUE O RESISTENCIA;13/1/2019;MUJER;28;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;OTROS;20/1/2019;HOMBRE;25;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;EXCESO DE LOS LIMITES DE VELOCIDAD;17/1/2019;HOMBRE;37;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;OTROS ROBOS;25/1/2019;HOMBRE;36;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;31/1/2019;HOMBRE;44;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;31/1/2019;HOMBRE;40;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;BOLETA DE APREMIO;9/2/2019;HOMBRE;31;ECUATORIANO
ZONA 5;GUAYAS;EL TRIUNFO;DAÑO A BIEN AJENO;6/2/2019;HOMBRE;25;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;13/2/2019;HOMBRE;39;ECUATORIANO
